time,foot1,foot2,hand1,hand2,pos1,pos2,result,score,bout
0:23:09,,,,,,,,,
0:23:10,,,,,,,,,
0:23:11,,,,,,,,,
0:23:12,,,,,,,,,
0:23:13,,,,,,,,,
0:23:14,,,,,,,,,
0:23:15,,,,,,,,,
0:23:16,,,,,,,,,
0:23:17,,,,,,,,,
0:23:18,,,,,,,,,
0:23:19,,,,,,,,,
0:23:20,,bf,,,,,,,
0:23:21,,bs,,,,,,,
0:23:22,,,,,,,,,
0:23:23,ff,,,,,,,,
0:23:24,fs,,,,,,,,
0:23:25,,,,,,,,,
0:23:26,,,,,,,,,
0:23:27,,,,,,,,,
0:23:28,,,,,,,,,
0:23:29,,,,,,,,,
0:24:00,,,,,,,,,
0:24:01,,bf,,,,,,,
0:24:02,,bs,,,,,,,
0:24:03,,,,,,,,,
0:24:04,,,,,,,,,
0:24:05,,,,,,,,,
0:24:06,,,,,,,,,
0:24:07,,,,,,,,,
0:24:08,,,,,,,,,
0:24:09,,,,,,,,,
0:24:10,,,,,,,,,
0:24:11,,,,,,,,,
0:24:12,ff,,,,,,,,
0:24:13,fs,,,,,,,,
0:24:14,,,,,,,,,
0:24:15,,,,,,,,,
0:24:16,,,,,,,,,
0:24:17,,,,,,,,,
0:24:18,,,,,,,,,
0:24:19,,,,,,,,,
0:24:20,ff,,,,,,,,
0:24:21,as,,,,,,,,
0:24:22,,,,,,,,,
0:24:23,,bf,,,,,,,
0:24:24,,bs,,,,,,,
0:24:25,,,,,,,,,
0:24:26,,,,,,,,,
0:24:27,,,as,,,,,,
0:24:28,,,,,,,,,
0:24:29,,,,,,,,,
0:25:00,,,,,,,,,
0:25:01,af,,h,,4,,,,
0:25:02,,,,,,,,,
0:25:03,,,,,,,,,
0:25:04,,,,,,,,,
0:25:05,,,,,,,,,
0:25:06,,,,,,,,,
0:25:07,,bf,,,,,,,
0:25:08,,bs,,,,,,,
0:25:09,,,,,,,,,
0:25:10,,,,,,,,,
0:25:11,,,,,,,,,
0:25:12,,,,,,,,,
0:25:13,,,,,,,,,
0:25:14,,,,,,,,,
0:25:15,,,,,,,,,
0:25:16,,,,,,,,,
0:25:17,,,,,,,,,
0:25:18,,,,,,,,,
0:25:19,,,,,,,,,
0:25:20,,bf,,,,,,,
,,,,,,,a,1,
,,,,,,,,,4
0:36:03,fs,fs,,,,,,,
0:36:04,,,,,,,,,
0:36:05,,,,,,,,,
0:36:06,,,,,,,,,
0:36:07,,,,,,,,,
0:36:08,,,,,,,,,
0:36:09,,,,,,,,,
0:36:10,,,,,,,,,
0:36:11,,,,,,,,,
0:36:12,,,,,,,,,
0:36:13,ff,,,,,,,,
0:36:14,fs,,,,,,,,
0:36:15,,ff,,,,,,,
0:36:16,,as,,,,,,,
0:36:17,,,,,,,,,
0:36:18,,,,,,,,,
0:36:19,ff,,,,,,,,
0:36:20,as,,,,,,,,
0:36:21,,,,,,,,,
0:36:22,,,,,,,,,
0:36:23,,,,,,,,,
0:36:24,,,,,,,,,
0:36:25,,,,,,,,,
0:36:26,,,,,,,,,
0:36:27,af,,,,,,,,
0:36:28,,,,,,,,,
0:36:29,,af,,,,,,,
,,,,,,,b,,
,,,,,,,,,5
0:47:04,fs,,,,,,,,
0:47:05,,,,,,,,,
0:47:06,,fs,,,,,,,
0:47:07,,,,,,,,,
0:47:08,,,,,,,,,
0:47:09,,,,,,,,,
0:47:10,,,,,,,,,
0:47:11,,,,,,,,,
0:47:12,,,,,,,,,
0:47:13,,,,,,,,,
0:47:14,,,,,,,,,
0:47:15,ff,,,,,,,,
0:47:16,fs,ff,,,,,,,
0:47:17,,as,,,,,,,
0:47:18,,,,,,,,,
0:47:19,,,,,,,,,
0:47:20,,,,,,,,,
0:47:21,,,,,,,,,
0:47:22,,,,,,,,,
0:47:23,,,,,,,,,
0:47:24,ff,,,,,,,,
0:47:25,bs,,,,,,,,
0:47:26,,,,,,,,,
0:47:27,,,,,,,,,
0:47:28,,,,,,,,,
0:47:29,,,,,,,,,
0:48:00,,af,,,,,,,
0:48:01,,,,,,,,,
0:48:02,,,,,,,,,
0:48:03,,,,,,,,,
0:48:04,bf,,,,,,,,
0:48:05,bs,,,,,,,,
0:48:06,,bs,,,,,,,
0:48:07,,,,,,,,,
0:48:08,,,,,,,,,
0:48:09,,,,,,,,,
0:48:10,,,,,,,,,
0:48:11,,,,,,,,,
0:48:12,,,,,,,,,
0:48:13,,bf,,,,,,,
0:48:14,,bs,,,,,,,
0:48:15,,,,,,,,,
0:48:16,,,,,,,,,
0:48:17,,,,,,,,,
0:48:18,,,,,,,,,
0:48:19,,bf,,,,,,,
0:48:20,,fs,,,,,,,
0:48:21,,,,,,,,,
0:48:22,,,,,,,,,
0:48:23,bf,,,,,,,,
0:48:24,fs,,,,,,,,
0:48:25,,,,,,,,,
0:48:26,,,,,,,,,
0:48:27,,,,,,,,,
0:48:28,,ff,,,,,,,
0:48:29,,bs,,,,,,,
0:49:00,,,,,,,,,
0:49:01,,,,,,,,,
0:49:02,,,,,,,,,
0:49:03,,,,,,,,,
0:49:04,,,,,,,,,
0:49:05,,,,,,,,,
0:49:06,,,,,,,,,
0:49:07,,,,,,,,,
0:49:08,ff,,,,,,,,
0:49:09,fs,bf,,,,,,,
0:49:10,,bs,,,,,,,
0:49:11,,,,,,,,,
0:49:12,,,,,,,,,
0:49:13,,,,,,,,,
0:49:14,,,,,,,,,
0:49:15,,,,,,,,,
0:49:16,,,,,,,,,
0:49:17,,,,,,,,,
0:49:18,,,,,,,,,
0:49:19,,,,,,,,,
0:49:20,,bf,,,,,,,
0:49:21,,bs,,,,,,,
0:49:22,,,,,,,,,
0:49:23,,,,,,,,,
0:49:24,,,,,,,,,
0:49:25,,,,,,,,,
0:49:26,ff,,,,,,,,
0:49:27,fs,,,,,,,,
0:49:28,,,,,,,,,
0:49:29,,,,,,,,,
0:50:00,,,,,,,,,
0:50:01,,,,,,,,,
0:50:02,,,,,,,,,
0:50:03,,bf,,,,,,,
0:50:04,,bs,,,,,,,
0:50:05,,,,,,,,,
0:50:06,,,,,,,,,
0:50:07,,,,,,,,,
0:50:08,,,,,,,,,
0:50:09,,,,,,,,,
0:50:10,ff,,,,,,,,
0:50:11,fs,,,,,,,,
0:50:12,,,,,,,,,
0:50:13,,,,,,,,,
0:50:14,,,,,,,,,
0:50:15,,,,,,,,,
0:50:16,,,,,,,,,
0:50:17,,,,,,,,,
0:50:18,,,,,,,,,
0:50:19,,,,,,,,,
0:50:20,,bf,,,,,,,
0:50:21,,bs,,,,,,,
0:50:22,,,,,,,,,
0:50:23,,,,,,,,,
0:50:24,,,,,,,,,
0:50:25,,,,,,,,,
0:50:26,ff,,,,,,,,
0:50:27,fs,,,,,,,,
0:50:28,,,,,,,,,
0:50:29,,,,,,,,,
0:51:00,,,,,,,,,
0:51:01,,,,,,,,,
0:51:02,,,,,,,,,
0:51:03,,,,,,,,,
0:51:04,,,,,,,,,
0:51:05,,,,,,,,,
0:51:06,,,,,,,,,
0:51:07,,,,,,,,,
0:51:08,ff,bf,,,,,,,
0:51:09,fs,bs,,,,,,,
0:51:10,,,,,,,,,
0:51:11,,,,,,,,,
0:51:12,,,,,,,,,
0:51:13,,,,,,,,,
0:51:14,,,,,,,,,
0:51:15,,,,,,,,,
0:51:16,,,,,,,,,
0:51:17,,,,,,,,,
0:51:18,,bf,,,,,,,
0:51:19,,bs,,,,,,,
0:51:20,,,,,,,,,
0:51:21,,,,,,,,,
0:51:22,,,,,,,,,
0:51:23,ff,,,,,,,,
0:51:24,as,,,,,,,,
0:51:25,,,,,,,,,
0:51:26,,,,,,,,,
0:51:27,,,,,,,,,
0:51:28,,,,,,,,,
0:51:29,,,,,,,,,
0:52:00,,,,,,,,,
0:52:01,,,,,,,,,
0:52:02,,bf,,,,,,,
0:52:03,,bs,,,,,,,
0:52:04,,,,,,,,,
0:52:05,,,,,,,,,
0:52:06,,,,,,,,,
0:52:07,af,,,,,,,,
0:52:08,,,,,,,,,
0:52:09,,,,,,,,,
0:52:10,,,,,,,,,
0:52:11,,,,,,,,,
0:52:12,,,,,,,,,
0:52:13,,,,,,,,,
0:52:14,,bf,,,,,,,
,,,,,,,a,1,
,,,,,,,,,6
1:04:29,fs,fs,,,,,,,
1:05:00,,,,,,,,,
1:05:01,,,,,,,,,
1:05:02,,,,,,,,,
1:05:03,,,,,,,,,
1:05:04,,,,,,,,,
1:05:05,,,,,,,,,
1:05:06,,,,,,,,,
