time,foot1,foot2,hand1,hand2,pos1,pos2,ground,result,flow,score,bout
,,,,,,,,,,,1
3:27:08,,,,,,,,,,,
3:27:09,,,,,,,,,,,
3:27:10,,,,,,,,,,,
3:27:11,ff,,,,,,,,,,
3:27:12,as,ff,,,,,,,,,
3:27:13,,fs,,,,,,,,,
3:27:14,,,,,,,,,,,
3:27:15,,,,,,,,,,,
3:27:16,,,,,,,,,,,
3:27:17,,,,,,,,,,,
3:27:18,,ff,,,,,,,,,
3:27:19,,bs,,,,,,,,,
3:27:20,,,,,,,,,,,
3:27:21,,,,,,,,,,,
3:27:22,,,,,,,,,,,
3:27:23,,,,,,,,,,,
3:27:24,,,,,,,,,,,
3:27:25,,,,,,,,,,,
3:27:26,,,,,,,,,,,
3:27:27,,,as,,,,,,,,
3:27:28,,,,,,,,,,,
3:27:29,af,,,,,,,,,,
3:28:00,,,,,,,,,,,
3:28:01,,,h,ps,,,,,,,
3:28:02,,,,pf,,,,,,,
3:28:03,,,,,,,,,,,
3:28:04,,,,,,,,,,,
3:28:05,,,,,,,,,,,
3:28:06,,,,,,,,,,,
3:28:07,,,,,,,,,,,
3:28:08,,,,,,,,,,,
3:28:09,,,,,,,,,,,
3:28:10,,bf,,,,,,,,,
,,,,,,,,a,fbf,1,
,,,,,,,,,,,6
3:36:18,,fs,,,,,,,,,
3:36:19,,,,,,,,,,,
3:36:20,,,,,,,,,,,
3:36:21,,,,,,,,,,,
3:36:22,fs,,,,,,,,,,
3:36:23,,,,,,,,,,,
3:36:24,,,,,,,,,,,
3:36:25,,ff,,,,,,,,,
3:36:26,,fs,,,,,,,,,
3:36:27,,,,,,,,,,,
3:36:28,,,,,,,,,,,
3:36:29,,,,,,,,,,,
3:37:00,ff,,,,,,,,,,
3:37:01,as,,,,,,,,,,
3:37:02,,,,,,,,,,,
3:37:03,,,,,,,,,,,
3:37:04,,ff,,,,,,,,,
3:37:05,,as,,,,,,,,,
3:37:06,,,,,,,,,,,
3:37:07,,,as,,,,,,,,
3:37:08,,,,,,,,,,,
3:37:09,,,,,,,,,,,
3:37:10,,,,as,,,,,,,
3:37:11,,,,,,,,,,,
3:37:12,af,,h,h,,,,,,,
3:37:13,,af,,,,,,,,,
,,,,,,,,b,ffb,,
,,,,,,,,,,,7
3:45:26,fs,,,,,,,,,,
