time,foot1,foot2,hand1,hand2,pos1,pos2,ground,result,flow,score,bout,
1:04:24,,as,,,,,,,,,,
1:04:25,,,,,,,,,,,,
1:04:26,,,,,,,,,,,,
1:04:27,,,,,,,,,,,,
1:04:28,,,as,,,,,,,,,
1:04:29,,,,as,,,,,,,,
1:05:00,,,,,,,,,,,,
1:05:01,,,h,,,,,,,,,
1:05:02,af,af,,h,,,,,,,,
,,,,,,,,b,ffb,,,
,,,,,,,,,,,6,
1:38:00,fs,,,,,,,,,,,
1:38:01,,,,,,,,,,,,
1:38:02,,,,,,,,,,,,
1:38:03,,,,,,,,,,,,
1:38:04,,,,,,,,,,,,
1:38:05,,fs,,,,,,,,,,
1:38:06,,,,,,,,,,,,
1:38:07,,,,,,,,,,,,
1:38:08,,,,,,,,,,,,
1:38:09,,,,,,,,,,,,
1:38:10,,,,,,,,,,,,
1:38:11,,,,,,,,,,,,
1:38:12,,ff,,,,,,,,,,
1:38:13,,fs,,,,,,,,,,
1:38:14,,,,,,,,,,,,
1:38:15,ff,,,,,,,,,,,
1:38:16,as,,,,,,,,,,,
1:38:17,,,,,,,,,,,,
1:38:18,,,,,,,,,,,,
1:38:19,,,,,,,,,,,,
1:38:20,,,,,,,,,,,,
1:38:21,,ff,,,,,,,,,,
1:38:22,,as,,,,,,,,,,
1:38:23,,,,as,,,,,,,,
1:38:24,,,as,,,,,,,,,
1:38:25,,,,,,,,,,,,
1:38:26,,af,,h,,,,,,,,
1:38:27,,,,,,,,,,,,
1:38:28,,,,,,,,,,,,
1:38:29,af,,h,,,,,,,,,
,,,,,,,,a,ff2,2,,
,,,,,,,,,,,7,
1:49:00,fs,fs,,,,,,,,,,
1:49:01,,,,,,,,,,,,
1:49:02,,,,,,,,,,,,
1:49:03,,,,,,,,,,,,
1:49:04,,,,,,,,,,,,
1:49:05,,,,,,,,,,,,
1:49:06,,,,,,,,,,,,
1:49:07,,,,,,,,,,,,
1:49:08,,,,,,,,,,,,
1:49:09,,,,,,,,,,,,
1:49:10,,,,,,,,,,,,
1:49:11,ff,ff,,,,,,,,,,
1:49:12,fs,as,,,,,,,,,,
1:49:13,,,,,,,,,,,,
1:49:14,,,,,,,,,,,,
1:49:15,,,,,,,,,,,,
1:49:16,,,,,,,,,,,,
1:49:17,ff,,,,,,,,,,,
1:49:18,as,,,,,,,,,,,
1:49:19,,,,,,,,,,,,
1:49:20,,,,,,,,,,,,
1:49:21,,,,,,,,,,,,
1:49:22,,,as,,,,,,,,,
1:49:23,,,,,,,,,,,,
1:49:24,,,,,,,,,,,,
1:49:25,af,,h,as,,,,,,,,
1:49:26,,af,,,,,,,,,,
1:49:27,,,,,,,,,,,,
1:49:28,,,,h,,,,,,,,
,,,,,,,,a,ff1,1,,
,,,,,,,,,,,8,
2:05:29,fs,,,,,,,,,,,
2:06:00,,,,,,,,,,,,
2:06:01,,,,,,,,,,,,
2:06:02,,fs,,,,,,,,,,
2:06:03,,,,,,,,,,,,
2:06:04,,,,,,,,,,,,
2:06:05,,,,,,,,,,,,
2:06:06,,,,,,,,,,,,
2:06:07,,,,,,,,,,,,
2:06:08,,,,,,,,,,,,
2:06:09,,,,,,,,,,,,
2:06:10,ff,ff,,,,,,,,,,
2:06:11,as,fs,,,,,,,,,,
2:06:12,,,,,,,,,,,,
2:06:13,,,,,,,,,,,,
2:06:14,,,,,,,,,,,,
2:06:15,,,,,,,,,,,,
2:06:16,,,,,,,,,,,,
2:06:17,,,,,,,,,,,,
2:06:18,,,,,,,,,,,,
2:06:19,,,as,,,,,,,,,
2:06:20,,,,,,,,,,,,
2:06:21,,ff,,,,,,,,,,
2:06:22,,fs,,,,,,,,,,
2:06:23,,,,,,,,,,,,
2:06:24,,,,,,,,,,,,
2:06:25,af,,,ps,,,,,,,,
2:06:26,,,ap,p,,,,,,,,
2:06:27,,,,,,,,,,,,
2:06:28,,ff,,,,,,,,,,
2:06:29,,bs,,,,,,,,,,
2:07:00,,,,,,,,,,,,
2:07:01,,,,,,,,,,,,
2:07:02,,,,,,,,,,,,
2:07:03,,bf,,,,,,,,,,
2:07:04,,bs,,,,,,,,,,
2:07:05,,,,,,,,,,,,
2:07:06,,,,,,,,,,,,
2:07:07,,,,,,,,,,,,
2:07:08,,,,,,,,,,,,
2:07:09,,,,,,,,,,,,
2:07:10,bs,,,,,,,,,,,
2:07:11,,,,,,,,,,,,
2:07:12,,,,,,,,,,,,
2:07:13,bf,,,,,,,,,,,
2:07:14,bs,,,,,,,,,,,
2:07:15,,bf,,,,,,,,,,
2:07:16,,bs,,,,,,,,,,
2:07:17,,,,,,,,,,,,
2:07:18,,,,,,,,,,,,
2:07:19,,,,,,,,,,,,
2:07:20,bf,,,,,,,,,,,
2:07:21,,,,,,,,,,,,
2:07:22,,,,,,,,,,,,
2:07:23,,,,,,,,,,,,
2:07:24,,,,,,,,,,,,
2:07:25,fs,,,,,,,,,,,
2:07:26,,,,,,,,,,,,
2:07:27,,,,,,,,,,,,
2:07:28,,bf,,,,,,,,,,
2:07:29,,as,,,,,,,,,,
2:08:00,,,,,,,,,,,,
2:08:01,,,,,,,,,,,,
2:08:02,,,,,,,,,,,,
2:08:03,,,,,,,,,,,,
2:08:04,ff,,,as,,,,,,,,
2:08:05,bs,,ps,,,,,,,,,
2:08:06,,,,,,,,,,,,
2:08:07,,,p,ap,,,,,,,,
2:08:08,,af,,,,,,,,,,
2:08:09,,,,,,,,,,,,
2:08:10,,,,,,,,,,,,
2:08:11,,,,,,,,,,,,
2:08:12,,,,,,,,,,,,
2:08:13,,,,,,,,,,,,
2:08:14,,,,,,,,,,,,
2:08:15,,,,,,,,,,,,
2:08:16,,fs,,,,,,,,,,
2:08:17,,,,,,,,,,,,
2:08:18,,,,,,,,,,,,
2:08:19,,,,,,,,,,,,
2:08:20,,,,,,,,,,,,
2:08:21,,,,,,,,,,,,
2:08:22,,,,,,,,,,,,
2:08:23,,,,,,,,,,,,
2:08:24,,,,,,,,,,,,
2:08:25,,,,,,,,,,,,
2:08:26,,,,,,,,,,,,
2:08:27,,,,,,,,,,,,
2:08:28,,,,,,,,,,,,
2:08:29,,,,,,,,,,,,
2:09:00,fs,,,,,,,,,,,
2:09:01,,,,,,,,,,,,
2:09:02,,bs,,,,,,,,,,
2:09:03,,,,,,,,,,,,
2:09:04,,,,,,,,,,,,
2:09:05,,bf,,,,,,,,,,
2:09:06,,bs,,,,,,,,,,
2:09:07,,,,,,,,,,,,
2:09:08,,,,,,,,,,,,
2:09:09,,,,,,,,,,,,
2:09:10,,,,,,,,,,,,
2:09:11,,,,,,,,,,,,
2:09:12,,,,,,,,,,,,
2:09:13,,,,,,,,,,,,
2:09:14,,,,,,,,,,,,
2:09:15,,bf,,,,,,,,,,
2:09:16,,bs,,,,,,,,,,
2:09:17,,,,,,,,,,,,
2:09:18,,,,,,,,,,,,
2:09:19,,,,,,,,,,,,
2:09:20,,,,,,,,,,,,
2:09:21,,,,,,,,,,,,
2:09:22,,bf,,,,,,,,,,
2:09:23,,bs,,,,,,,,,,
2:09:24,,,,,,,,,,,,
2:09:25,,,,,,,,,,,,
2:09:26,,,,,,,,,,,,
2:09:27,ff,,,,,,,,,,,
2:09:28,as,bf,,,,,,,,,,
2:09:29,,bs,,,,,,,,,,
2:10:00,,,,,,,,,,,,
2:10:01,,,as,,,,,,,,,
2:10:02,,,,,,,,,,,,
2:10:03,,,,,,,,,,,,
2:10:04,,,,,,,,,,,,
2:10:05,,,h,,,,,,,,,
2:10:06,,,,,,,,,,,,
2:10:07,,,,,,,,,,,,
2:10:08,,,,,,,,,,,,
2:10:09,af,,,,,,,,,,,
2:10:10,,,,,,,,,,,,
2:10:11,,,,,,,,,,,,
2:10:12,,,,,,,,,,,,
2:10:13,,,,,,,,,,,,
2:10:14,,,,,,,,,,,,
2:10:15,,,,,,,,,,,,
2:10:16,,,,,,,,,,,,
2:10:17,,,,,,,,,,,,
2:10:18,,bf,,,,,,,,,,
,,,,,,,,a,fbbbfbfbf,1,,
,,,,,,,,,,,9,
2:23:19,fs,,,,,,,,,,,
2:23:20,,,,,,,,,,,,
2:23:21,,,,,,,,,,,,
2:23:22,,,,,,,,,,,,
2:23:23,,,,,,,,,,,,
2:23:24,,,,,,,,,,,,
2:23:25,,fs,,,,,,,,,,
2:23:26,,,,,,,,,,,,
2:23:27,,,,,,,,,,,,
2:23:28,,,,,,,,,,,,
2:23:29,,,,,,,,,,,,
2:24:00,,,,,,,,,,,,
2:24:01,,,,,,,,,,,,
2:24:02,,,,,,,,,,,,
2:24:03,ff,ff,,,,,,,,,,
2:24:04,fs,fs,,,,,,,,,,
2:24:05,,,,,,,,,,,,
2:24:06,,,,,,,,,,,,
2:24:07,,,,,,,,,,,,
2:24:08,,,,,,,,,,,,
2:24:09,,,,,,,,,,,,
2:24:10,,ff,,,,,,,,,,
2:24:11,ff,bs,,,,,,,,,,
2:24:12,bs,,,,,,,,,,,
2:24:13,,bf,,,,,,,,,,
2:24:14,,fs,,,,,,,,,,
2:24:15,,,,,,,,,,,,
2:24:16,,,,,,,,,,,,
2:24:17,,,,,,,,,,,,
2:24:18,bf,,,,,,,,,,,
2:24:19,,,,,,,,,,,,
2:24:20,,,,,,,,,,,,
2:24:21,,ff,,,,,,,,,,
2:24:22,,fs,,,,,,,,,,
2:24:23,,,,,,,,,,,,
2:24:24,,,,,,,,,,,,
2:24:25,,,,,,,,,,,,
2:24:26,fs,,,,,,,,,,,
2:24:27,,,,,,,,,,,,
2:24:28,,,,,,,,,,,,
2:24:29,,,,,,,,,,,,
2:25:00,,ff,,,,,,,,,,
2:25:01,,fs,,,,,,,,,,
2:25:02,,,,,,,,,,,,
2:25:03,,,,,,,,,,,,
2:25:04,,,,,,,,,,,,
2:25:05,,,,,,,,,,,,
2:25:06,bf,,,,,,,,,,,
2:25:07,bs,ff,,,,,,,,,,
2:25:08,,fs,,,,,,,,,,
