time,event,player1,player2,score,position
5:22,s,,,,5
5:23,a,ffha,ffha,1,5
5:31,s,,,,5
5:32,r,ffpr,fa,1,5
5:47,s,,,,5
5:48,b,ffha,ffha,,5
5:56,s,,,,5
5:57,b,fa,fa,,5
6:06,s,,,,5
6:07,b,ffa,ffa,,5
6:40,s,,,,5
6:41,a,ffa,ffa,2,5
6:51,s,,,,5
6:52,a,fa,fa,1,5
7:08,s,,,,5
7:09,n,fa,ffp,,5
7:10,n,bp,a,,5
7:12,a,fa,b,1,7
7:25,s,,,,5
7:26,h,ffh,ffh,,5
7:29,r,b-pr,f-a,1,1
8:08,s,,,,5
8:09,b,ffha,ffha,,5
8:30,s,,,,5
8:31,a,ffha,ffha,1,5
9:04,s,,,,5
9:05,a,fa,fa,2,5
9:16,s,,,,5
9:17,a,ffb,ffa,2,4
9:28,s,,,,5
9:29,a,fa,ffh,1,5
9:51,s,,,,5
9:52,n,ffa,fb,,6
9:53,a,n,a,2,6
10:11,s,,,,5
10:12,a,ffa,fa,1,5
11:42,s,,,,5
11:43,n,ffa,ffb,,6
11:48,a,b-p,f-a,2,1
12:07,s,,,,5
12:08,a,ffha,ffa,2,5
12:22,s,,,,5
12:23,a,fa,fa,1,5
12:41,s,,,,5
12:43,a,ffa,ffha,2,6
13:25,s,,,,5
13:26,a,ffa,ffb,1,6
13:37,s,,,,5
13:38,b,fa,fa,,5
13:47,s,,,,5
13:48,b,fa,fa,,5
13:59,s,,,,5
14:00,b,fa,fa,,5
14:10,s,,,,5
14:11,r,ffa,fa,1,5
14:35,s,,,,5
14:36,a,fa,fa,2,5
14:47,s,,,,5
14:48,b,fa,ffa,,5
15:35,s,,,,5
15:36,a,ffba,ffa,2,4
15:27,s,,,,5
15:28,a,ffha,fa,2,5
16:46,s,,,,5
16:47,n,ffb,ffa,,4
16:51,n,b-,f-a,,1
16.52,a,a,n,1,1
17:41,s,,,,5
17:42,b,ffa,fa,,5
18:13,s,,,,5
18:14,b,fa,fa,,5
18:22,s,,,,5
18:23,b,fa,fa,,5
18:35,s,,,,5
18:36,a,ffa,ffha,1,5
18:55,s,,,,5
18:56,r,fa,ffpr,2,5
19:14,s,,,,5
19:15,a,ffa,ffha,1,5
19:51,s,,,,5
19:52,n,ffpr,fa,,5
19:57,c,b-c,f,1,3
